https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume EUR
1609459140,2020-12-31 23:59:00,BTC/EUR,23686.67,23712.56,23686.67,23687.84,1.25135546,29641.9079196064
1609459080,2020-12-31 23:58:00,BTC/EUR,23704.49,23715.07,23672.80,23672.80,0.61581909,14578.162153752
1609459020,2020-12-31 23:57:00,BTC/EUR,23738.90,23738.90,23710.99,23717.20,1.31636198,31220.420352056
1609458960,2020-12-31 23:56:00,BTC/EUR,23721.00,23738.94,23721.00,23738.10,0.07818208,1855.894033248
1609458900,2020-12-31 23:55:00,BTC/EUR,23727.52,23738.95,23712.09,23716.40,0.24814166,5885.026865224
1609458840,2020-12-31 23:54:00,BTC/EUR,23745.45,23745.45,23736.11,23736.11,0.18200371,4320.0600809681
1609458780,2020-12-31 23:53:00,BTC/EUR,23707.61,23735.08,23707.61,23733.89,0.71619594,16998.115658406598
1609458720,2020-12-31 23:52:00,BTC/EUR,23709.23,23725.67,23702.37,23725.67,0.43978666,10434.233165562198
1609458660,2020-12-31 23:51:00,BTC/EUR,23703.74,23723.62,23700.00,23700.73,1.78100609,42211.1444674457
1609458600,2020-12-31 23:50:00,BTC/EUR,23696.02,23713.72,23689.78,23700.00,3.69661402,87609.752274
1609458540,2020-12-31 23:49:00,BTC/EUR,23689.48,23705.89,23687.57,23705.89,0.03995600,947.19254084
1609458480,2020-12-31 23:48:00,BTC/EUR,23670.25,23691.90,23657.17,23691.90,1.34146334,31781.815304946
1609458420,2020-12-31 23:47:00,BTC/EUR,23648.28,23669.09,23640.96,23652.13,2.94656174,69692.4613275062
1609458360,2020-12-31 23:46:00,BTC/EUR,23591.40,23669.62,23591.40,23668.41,3.18096100,75288.28914200999
1609458300,2020-12-31 23:45:00,BTC/EUR,23600.01,23609.01,23557.20,23604.21,4.82601731,113914.3260488751
1609458240,2020-12-31 23:44:00,BTC/EUR,23690.79,23711.12,23600.01,23629.94,1.33629222,31576.5049810668
1609458180,2020-12-31 23:43:00,BTC/EUR,23695.05,23719.55,23690.40,23690.79,0.25748479,6100.018088084101
1609458120,2020-12-31 23:42:00,BTC/EUR,23743.87,23743.87,23707.13,23731.68,0.58510507,13885.5262876176
1609458060,2020-12-31 23:41:00,BTC/EUR,23727.88,23743.87,23718.91,23743.87,0.84718320,20115.407766984
1609458000,2020-12-31 23:40:00,BTC/EUR,23731.02,23755.97,23720.61,23727.87,1.45707694,34573.3322123178
1609457940,2020-12-31 23:39:00,BTC/EUR,23726.50,23751.68,23726.50,23729.81,0.36661705,8699.752939260501
1609457880,2020-12-31 23:38:00,BTC/EUR,23693.70,23722.72,23693.70,23722.72,0.65748313,15597.288197713602
1609457820,2020-12-31 23:37:00,BTC/EUR,23744.70,23744.70,23724.87,23724.87,0.09952709,2361.2672717283
1609457760,2020-12-31 23:36:00,BTC/EUR,23719.43,23752.34,23717.56,23745.93,0.98978595,23503.3878836835
1609457700,2020-12-31 23:35:00,BTC/EUR,23730.64,23734.94,23718.56,23734.94,0.19123809,4539.0245918646
1609457640,2020-12-31 23:34:00,BTC/EUR,23734.75,23734.75,23703.20,23730.64,0.14223414,3375.3071720496
1609457580,2020-12-31 23:33:00,BTC/EUR,23692.27,23713.12,23692.24,23713.12,1.74609054,41405.2545058848
1609457520,2020-12-31 23:32:00,BTC/EUR,23710.73,23725.50,23688.64,23704.08,0.53761907,12743.7654448056
1609457460,2020-12-31 23:31:00,BTC/EUR,23705.43,23725.50,23705.43,23725.50,0.04728145,1121.776041975
1609457400,2020-12-31 23:30:00,BTC/EUR,23729.09,23747.21,23673.02,23697.86,0.61271760,14520.095904336
1609457340,2020-12-31 23:29:00,BTC/EUR,23739.27,23748.75,23727.67,23729.09,0.15471032,3671.1351072088005
1609457280,2020-12-31 23:28:00,BTC/EUR,23725.30,23739.27,23712.89,23739.27,0.01309253,310.8071046531
1609457220,2020-12-31 23:27:00,BTC/EUR,23732.26,23732.26,23702.78,23725.32,0.34752172,8245.0640139504
1609457160,2020-12-31 23:26:00,BTC/EUR,23751.08,23751.08,23720.52,23732.26,0.35786145,8492.860975377
1609457100,2020-12-31 23:25:00,BTC/EUR,23763.82,23765.00,23730.01,23752.34,0.20387173,4842.4306473482
1609457040,2020-12-31 23:24:00,BTC/EUR,23751.76,23751.76,23751.76,23751.76,0.05000000,1187.588
1609456980,2020-12-31 23:23:00,BTC/EUR,23746.29,23755.23,23746.29,23751.64,3.13183985,74386.33265485399
